edge_u,edge_v,edge_k,road_type,matched_segment_id,match_dist_m
27440479,27440563,0,tertiary,911,293.4
27440479,713312029,0,secondary,911,324.4
27440480,269446279,0,secondary,911,188.1
27440480,27440479,0,secondary,911,234.0
27440481,27440480,0,secondary,911,143.4
27440481,27440565,0,tertiary,911,130.5
27440482,269446280,0,secondary,925,11.1
27440482,27440566,0,secondary,911,79.8
27440482,27440481,0,secondary,911,53.1
27440483,27440482,0,secondary,925,53.2
27440483,11915826544,0,tertiary,911,111.9
27440556,27440557,0,residential,592,278.4
27440556,713312029,0,tertiary,621,279.9
27440557,27440556,0,residential,592,278.4
27440557,27440558,0,residential,592,320.9
27440557,27440573,0,residential,1285,334.0
27440558,27440570,0,residential,1285,361.3
27440558,27440557,0,residential,592,320.9
27440558,713311573,0,residential,592,226.5
27440563,27440573,0,residential,1285,288.2
27440563,27440556,0,tertiary,592,316.0
27440564,27440563,0,tertiary,1285,259.8
27440564,27440480,0,secondary,911,207.3
27440565,27440566,0,tertiary,1285,114.1
27440565,27440564,0,tertiary,1285,179.3
27440565,27440575,0,residential,1285,109.6
27440566,27440565,0,tertiary,1285,114.1
27440566,27440482,0,secondary,911,79.8
27440566,257164245,0,secondary,1285,39.8
27440570,27440558,0,residential,1285,361.3
27440570,27440571,0,residential,620,294.4
27440571,27440570,0,residential,620,294.4
27440571,27440572,0,tertiary,620,194.5
27440571,27440574,0,secondary,1285,230.1
27440572,27440577,0,tertiary,620,93.9
27440572,27440575,0,residential,1285,179.1
27440572,27440571,0,tertiary,620,194.5
27440573,27440574,0,residential,1285,244.0
27440573,27440570,0,residential,1285,304.5
27440573,27440557,0,residential,1285,334.0
27440574,27440573,0,residential,1285,244.0
27440574,27440571,0,secondary,1285,230.1
27440574,27440564,0,secondary,1285,197.0
27440574,27440575,0,residential,1285,155.2
27440575,27440572,0,residential,1285,179.1
27440575,27440565,0,residential,1285,109.6
27440575,27440574,0,residential,1285,155.2
27440577,739102754,0,secondary,620,45.4
27440577,27440572,0,tertiary,620,93.9
27440577,257164245,0,secondary,620,142.0
27440577,27440579,0,tertiary,591,9.3
27440579,27440580,0,tertiary,591,116.4
27440579,27440577,0,tertiary,591,9.3
27440580,27440581,0,tertiary,591,214.1
27440580,27440579,0,tertiary,591,116.4
27440580,261179549,0,tertiary,591,152.6
27440581,27440580,0,tertiary,591,214.1
27440581,27440582,0,tertiary,760,285.3
27440582,262184061,0,tertiary,760,195.5
27440582,27440581,0,tertiary,760,285.3
27440585,675646163,0,tertiary,1286,138.5
27440585,261200728,0,tertiary,1287,141.6
27440585,27440586,0,secondary,1286,78.8
27440585,261149260,0,secondary,925,152.0
27440586,1434374544,0,secondary,1287,49.6
27440586,13097392890,0,secondary,1286,42.1
27440586,27440585,0,secondary,1286,78.8
27440586,29411948,0,secondary,1287,44.3
27446488,27446489,0,secondary,907,64.8
27446488,27446490,0,secondary,907,10.1
27446489,27440240,0,secondary,921,84.8
27446489,27440219,0,secondary,921,134.5
27446490,740249835,0,secondary,907,106.1
27446490,704976299,0,secondary,907,104.4
27446491,27446490,0,secondary,907,80.2
27446491,27446489,0,secondary,921,16.1
27446494,27446719,0,secondary,1294,217.1
27446494,27446491,0,secondary,921,150.5
27446495,11254807437,0,secondary,1056,170.6
27446496,27446494,0,secondary,1056,271.1
27446496,27446495,0,secondary,1056,215.5
27446500,269446285,0,secondary,1029,155.2
27446500,1468311128,0,tertiary,1029,186.9
27446500,28358991,0,secondary,922,113.5
27446502,269446282,0,secondary,922,22.9
27446502,3884752869,0,secondary,908,123.7
27446708,27446709,0,secondary,1294,123.3
27446708,28290013,0,secondary,1295,202.9
27446708,27440221,0,secondary,1301,251.3
27446709,27446708,0,secondary,1294,123.3
27446709,27446720,0,secondary,1294,20.7
27446709,27446710,0,secondary,1294,78.7
27446710,27446491,0,secondary,921,95.9
27446710,27440240,0,secondary,921,125.8
27446719,261130930,0,secondary,1294,131.5
27446719,27446710,0,secondary,1294,128.1
27446720,11060811043,0,secondary,1295,95.2
27446720,27446709,0,secondary,1294,20.7
27446720,28289299,0,secondary,1295,105.6
27446756,262173260,0,secondary,1294,275.2
27446756,27446719,0,secondary,1294,202.0
27446758,28290265,0,secondary,1057,304.6
27446758,27446756,0,secondary,1056,317.6
27447116,705003532,0,motorway,612,264.6
27477580,258021247,0,secondary,1024,178.4
27477580,262184215,0,secondary,1024,243.2
27477586,27477580,0,secondary,1024,250.2
27477586,28289897,0,secondary,1299,212.0
27477590,27477586,0,secondary,1299,176.8
27477590,9164070649,0,secondary,1299,156.5
27477591,11060766791,0,secondary,1299,139.1
27477591,28290296,0,secondary,1299,97.0
27477592,258021251,0,secondary,1025,187.3
27477592,27477591,0,secondary,1299,188.9
