id,lat,lon,has_real_aq
366,41.9795285826,-87.68911563645,True
367,41.98683281375,-87.6893765428,True
422,41.751419837849994,-87.6003001781,True
423,41.75152024575,-87.5906050952,True
426,41.72110507765,-87.6577899223,True
427,41.7212366359,-87.64808499885,True
428,41.72144692525001,-87.63593184765,True
429,41.7216044963,-87.6245865906,True
430,41.7216917545,-87.61731423555,True
439,41.74910708235,-87.7364678331,True
440,41.749300170249995,-87.72674537245001,True
441,41.749471368049996,-87.71688730245,True
442,41.749561076999996,-87.70715328165,True
443,41.749670877499995,-87.69752763964999,True
444,41.7498397235,-87.6876966185,True
445,41.7500283774,-87.6779196469,True
446,41.75021698135,-87.66827839395,True
447,41.75030278815,-87.65858372215001,True
448,41.750407790349996,-87.64883450695001,True
453,41.75057720185,-87.65858084835,True
454,41.75068220345,-87.64883159165001,True
211,41.9109500811,-87.6552148626,True
212,41.911178154,-87.64070974195,True
230,41.865803259399996,-87.7594549709,True
231,41.8659692092,-87.74965947505,True
232,41.866128977849996,-87.7398624295,True
240,41.86706625675,-87.6615309522,True
241,41.867212561849996,-87.65179833055001,True
378,41.7683409509,-87.68352673465,True
379,41.7755978511,-87.6837250884,True
380,41.782873404149996,-87.68391829264999,True
381,41.790203688199995,-87.68411952435,True
382,41.7975124181,-87.68431625985,True
383,41.804787002,-87.68450807355,True
384,41.8120618752,-87.68471026834999,True
388,41.84555399595,-87.6856150285,True
389,41.8547744705,-87.68588438855,True
390,41.86206478875,-87.6860834845,True
391,41.87134911595,-87.68633752595,True
393,41.8868231651,-87.6867731506,True
394,41.893196685999996,-87.68695218525,True
395,41.8993807199,-87.68711832965,True
396,41.906669531000006,-87.68730740025,True
397,41.91356417895,-87.68748839565,True
398,41.920854085849996,-87.68769902435,True
402,41.94309684495,-87.68839504545,True
403,41.9503728073,-87.68854577434999,True
404,41.95766382665,-87.68875843235,True
405,41.96496491844999,-87.68897862525,True
406,41.97225426505,-87.68921249835,True
407,41.97953064575,-87.68948339565,True
408,41.986834876399996,-87.6897443441,True
409,41.75055262885,-87.6390849778,True
410,41.7507171413,-87.6293622337,True
411,41.750922000450004,-87.61972046254999,True
412,41.751064878899996,-87.6100522785,True
413,41.7511454276,-87.60030330014999,True
414,41.75124583605,-87.59060825854999,True
573,41.87681647705,-87.74494079845,True
574,41.88420759985,-87.74520726285,True
575,41.89145305495,-87.74548439955001,True
576,41.89866357045,-87.74571546835,True
578,41.8139447429,-87.5917631593,True
580,41.83193446615,-87.6041801736,True
581,41.8437740425,-87.6103119756,True
582,41.85346840475,-87.614437467,True
583,41.8627127851,-87.61754500105,True
584,41.870360156800004,-87.61790005770001,True
586,41.877085865,-87.61721673,True
595,41.9297541822,-87.6314405046,True
596,41.93690488635,-87.6350384609,True
597,41.944516376799996,-87.64069875205,True
598,41.951652566549996,-87.64387819725,True
599,41.95833127265,-87.64532973245,True
600,41.96570490845,-87.64693171914999,True
601,41.972999149,-87.64903412615,True
602,41.981073908249996,-87.65183816275001,True
609,41.83193679475,-87.6045470802,True
611,41.8534707016,-87.614804503,True
1281,41.887708,-87.62058300000001,True
1282,41.893893500000004,-87.62019649999999,True
83,41.8837050457,-87.72600663925,True
84,41.8904201506,-87.7261935396,True
242,41.8673240849,-87.6445516291,True
243,41.8674340279,-87.63631003745,True
244,41.8675756246,-87.6246968681,True
245,41.791914308049996,-87.79656375434999,True
246,41.7921153709,-87.7866919407,True
253,41.73516443855,-87.6971493133,True
254,41.735317793,-87.68735808865,True
255,41.7354536257,-87.67765092524999,True
256,41.735584875650005,-87.66792649445,True
257,41.7357253705,-87.65820408005,True
258,41.735969511600004,-87.64848505505,True
260,41.736249744549994,-87.61998746785,True
261,41.73643901245,-87.60967693755,True
262,41.736644231650004,-87.5952312799,True
263,41.736896287600004,-87.57725566165,True
264,41.73474406975,-87.7361078315,True
270,41.735728041200005,-87.67764813415,True
271,41.735859290549996,-87.66792366195,True
272,41.73599978485,-87.65820120615001,True
273,41.73624392545,-87.64848213975,True
294,41.9540864434,-87.67390300025,True
295,41.954197026749995,-87.6656508421,True
296,41.9542960382,-87.65839879695,True
297,41.95438760305,-87.6521237478,True
298,41.95447217355,-87.64713291075,True
302,41.9528900966,-87.8017654439,True
306,41.9533793583,-87.76207249264999,True
307,41.95349625445,-87.7522250503,True
308,41.953611094050004,-87.74268314105,True
309,41.9537257995,-87.732839265,True
314,41.954222041950004,-87.68360888075,True
315,41.9543608482,-87.6739001716,True
316,41.95447143115,-87.66564797800001,True
317,41.95457044215,-87.6583959017,True
318,41.9546620066,-87.65212082565,True
320,41.9088137173,-87.80028249995,False
321,41.9089364928,-87.78988492905,False
322,41.909049945250004,-87.7802908999,True
323,41.9091834769,-87.77067103945001,True
324,41.909302795399995,-87.76076112105,True
325,41.9094263215,-87.75095628234999,True
326,41.9095534664,-87.74119004785,True
455,41.7508270414,-87.63908202095,True
532,41.8513816545,-87.72968339715,True
546,41.851546023249995,-87.7369872238,True
547,41.8516560672,-87.72968082624999,True
566,41.781363405899995,-87.74167030025001,True
567,41.78867613285,-87.74151038725,True
568,41.79668761995,-87.74229905725,True
569,41.8039833307,-87.74288115155,True
570,41.81127832015,-87.74305530795,True
572,41.86952257765,-87.74469205935,True
275,41.73656261655,-87.61964371535001,True
276,41.73671342395,-87.60967385695,True
277,41.7369186423,-87.5952281378,True
278,41.73717069715,-87.57725244299999,True
285,41.95310494885,-87.76207494305,True
286,41.953221845499996,-87.7522275429,True
287,41.9533366856,-87.74268567460001,True
288,41.953451391550004,-87.7328418408,True
289,41.95357991905,-87.7227165436,True
623,41.913278904,-87.74591585065,True
624,41.920580266550004,-87.74600683455,True
625,41.92788099155,-87.74624650385,True
626,41.9351751012,-87.74655132135,True
627,41.94246882145,-87.74678185055,True
628,41.949769375749995,-87.7469937754,True
629,41.95783758415,-87.7472544795,True
636,41.788678026650004,-87.7418770572,True
641,41.869524460150004,-87.74505918935,True
643,41.88420948815,-87.74557448425,True
644,41.8914549343,-87.74585165145001,True
